C
C Identification
C Subsidence in feet or metres (1 or 0)
C Number of layers
C Present-day water depth
C Drill floor (KB) height (ASL)
C Age of top of section
C  
 Sunrise 1
0
22
159
30
0
C
C   Age     Depth        Lmst      Dlst      Bslt      Salt PWDm PWDM  Sea
C   Ma       m\f    Shale     Chlk      Sst       Anhyd       m    m    m
C        |         |    |    |    |    |    |    |    |    |    |    |     X
      2.      462.   20.  75.        5.                       0. 100.  0.  X
     10.      525.   20.  75.        5.                       0. 100.  0.  X
     24.      822.   10.  80.            10.                  0. 100.  0.  X
     30.     1062.   30.  55.        5.  10.                  0. 100.  0.  X
     34.     1086.   20.  10.            70.                  0. 100.  0.  X
     45.     1366.   10.  75.        5.  10.                  0. 100.  0.  X
     58.     1442.   15.  15.            70.                  0. 100.  0.  X
     68.     1494.   45.  50.             5.                 50. 200.  0.  X
     83.     1521.   30.  65.             5.                 20. 200.  0.  X
     86.     1545.   55.  35.            10.                 20. 200.  0.  X
     88.     1582.   35.  65.                                20. 200.  0.  X
     90.     1620.   70.  15.            15.                 20. 200.  0.  X
     95.     1890.   70.  15.            15.                 20. 200.  0.  X
    100.     2036.   70.  15.            15.                 20. 200.  0.  X
    107.     2062.   70.  20.            20.                 20. 200.  0.  X
    125.     2066.   40.       10.       50.                  0. 100.  0.  X
    160.     2068.   40.  30.            30.                  0. 100.  0.  X
    165.     2130.   40.  30.            30.                  0. 100.  0.  X
    170.     2176.   50.                 50.                  0. 100.  0.  X
    177.     2187.   30.                 70.                -10.  25.  0.  X
    180.     2237.   30.                 70.                -10.  25.  0.  X
    190.     2311.   30.                 70.                -10.  20.  0.  X
